UPZ y Localidad,Sin estrato *,1. Bajo - bajo,2. Bajo,3. Medio - bajo,4. Medio,5. Medio - Alto,6. Alto,Latitud,Longitud,Habitantes por km²,Población con ajuste por omisión 2018,Estrato 1 Año 2018,Estrato 2 año 2018,Estrato 3 año 2018,Estrato 4 Año 2018,Estrato 5 año 2018,Estrato 6 Año 2018,Paquetes por UPZ,Precio promedio por m² por UPZ,Paquetes/Precio
111 Puente Aranda,6.212,0,602,8.239,0,0,0,4.631,-74.108,4042,10.773,4446,431,5896,0,0,0,35220,1567329,"0,0224716"
112 Granjas de Techo,532,8,308,4.408,18.945,0,0,4.641,-74.118,4958,43.143,963,549,7858,33773,0,0,244539,3536961,"0,0691383"
113 Bavaria,15,0,0,9.702,11.229,0,0,4.616,-74.116,9277,37.901,27,0,17555,20318,0,0,209715,3071469,"0,0682784"
114 Modelia,70,0,0,4.208,35.442,0,0,4.667,-74.122,19128,42.644,75,0,4518,38051,0,0,250970,3782830,"0,0663446"
115 Capellanía,25,0,0,7.298,9.642,0,0,4.677,-74.126,7448,17.316,26,0,7449,9841,0,0,96319,3135220,"0,0307217"
116 Álamos,171,0,954,12.799,0,0,0,4.686,-74.116,6813,11.690,144,801,10745,0,0,0,56274,1953462,"0,0288073"
117 Aeropuerto El Dorado,863,0,0,0,0,0,0,4.698,-74.141,125,741,741,0,0,0,0,0,741,1000000,"0,0007410"
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,               
,,,,,,,,,,,,,,,,,,,,           
,,,,,,,,,,,,,,,,,,,,   
,,,,,,,,,,,,,,,,,,,,       
,,,,,,,,,,,,,,,,,,,,       
,,,,,,,,,,,,,,,,,,,,      
,,,,,,,,,,,,,,,,,,,,      
,,,,,,,,,,,,,,,,,,,,     
